Input,Generated Gloss
the art of fortification has contributed to the same ends,ART FORTIFICATION HAVE CONTRIBUTE TO DESC-SAME END
the nations of europe are encircled with chains of fortified places which mutually obstruct invasion,NATION EUROPE BE ECRICULATE WITH CHAIN FORTIFY PLACE WHICH DESC-MUTUALLY OBSTRUCT INVASION
campaigns are wasted in reducing two or three frontier garrisons to gain admittance into an enemy s country,CAMPAIGN BE WASTE IN REDUCE TWO OR THREE BRIDGE GARGARINY TO GAIN ADMITTANCE INTO ENEMY X-POSS COUNTRY
similar impediments occur at every step to exhaust the strength and delay the progress of an invader,DESC-SIMILAR IMPEDIMENT OCCUR AT EVERY STEP TO EXHAUST STRENGTH AND DELAY PROGRESS DESC-INVOKER
in this country the scene would be altogether reversed,IN THIS COUNTRY SCENE WOULD BE DESC-ALTOGER DESC-REVERSE
the jealousy of military establishments would postpone them as long as possible,JERSEY DESC-MILITARY ESTABLISHMENT WOULD POSTPONE X-Y AS DESC-LONG AS DESC-POSSIBLE
the want of fortifications leaving the frontiers of one state open to another would facilitate inroads,WANT FORTIFICATION LEAVE FRONTIER ONE STATE DESC-OPEN TO ANOR WOULD FACILITATE INROAD
the populous states would with little difficulty overrun their less populous neighbors,DESC-POPULOUS STATE WOULD WITH DESC-LITTLE DIFFICULTY OVERRUN X-Y DESC-LESS DESC-POPULOUS NEIGHBOR.
conquests would be as easy to be made as difficult to be retained,CONQUEST WOULD BE AS DESC-EASY TO BE MAKE AS DESC-DIFFICULT TO BE RETAIN
war therefore would be desultory and predatory,WAR DESC-REFORE WOULD BE DESC-DESULTOIRE AND DESC-PREEDERY
plunder and devastation ever march in the train of irregulars,PLUMBING AND DEVASTATION DESC-EVER MARCH IN TRAIN DESC-IRREGULAR
the calamities of individuals would make the principal figure in the events which would characterize our military exploits,CALCAMITY INDIVIDUAL WOULD MAKE PRINCIPAL FIGURE IN EVENT WHICH WOULD CHARACTERIZE X-WE DESC-MILITARY EXPLOIT
this picture is not too highly wrought though i confess it would not long remain a just one,THIS PICTURE BE DESC-NOT DESC-TOO DESC-HIGHLY WIND THOUGH X-I CONFIRM X-IT WOULD DESC-NOT DESC-LONG REMAIN DESC-JUST ONE
safety from external danger is the most powerful director of national conduct,SAFETY FROM DESC-EXTERNAL DANGER BE MOST DESC-POWERFUL DIRECTOR DESC-NATIONAL CONDUCT
even the ardent love of liberty will after a time give way to its dictates,DESC-EVEN DESC-ARDENT LOVE LIBERTY WILL AFTER TIME GIVE WAY TO X-ITS DICTATE
to be more safe they at length become willing to run the risk of being less free,TO BE MORE DESC-SAFE X-Y AT LENGTH BECOME DESC-WILLING TO RUN RISK BE DESC-LESS DESC-FREE
the institutions chiefly alluded to are standing armies and the correspondent appendages of military establishments,INSTITUTION DESC-CHIEFLY ALALUDE TO BE STAND ARMY AND CORRESPONDENT APPENDAGE DESC-MILITARY ESTABLISHMENT
standing armies it is said are not provided against in the new constitution and it is therefore inferred that they may exist under it1 their existence however from the very terms of the proposition is at most problematical and uncertain,STAND ARMY X-IT BE SAY BE DESC-NOT PROVIDE AGAINST IN DESC-NEW CONSTITUTION AND X-IT BE DESC-REFORE INFER THAT X-Y MAY EXIST UNDER IT1 X-Y EXISTENCE DESC-HOWEVER FROM DESC-VERY TERM PROPOSAL BE AT MOST DESC-PROBLEMATICAL AND DESC-UNCERTAIN
but standing armies it may be replied must inevitably result from a dissolution of the confederacy,BUT STAND ARMY X-IT MAY BE REPLY MUST DESC-INEvitABLY RESULT FROM DISSOLUTION CONFEDERACY
frequent war and constant apprehension which require a state of as constant preparation will infallibly produce them,DESC-FREQUENT WAR AND DESC-CONSTANT APEQUATION WHICH REQUIRE STATE AS DESC-CONSTANT PREPARATION WILL DESC-INFALLIBLY PRODUCE X-Y
the weaker states or confederacies would first have recourse to them to put themselves upon an equality with their more potent neighbors,WEAKER STATE OR CONFÉDÉCIACY WOULD DESC-FIRST HAVE RESULT TO X-Y TO PUT X-MSELVES UPON EQUALITY WITH X-Y MORE DESC-POTENT NATION NEIGHBOR.
they would endeavor to supply the inferiority of population and resources by a more regular and effective system of defense by disciplined troops and by fortifications,X-Y WOULD EFFORT TO SUPPLY INDIGENCY POPULATION AND RESOURCE BY MORE DESC-REGULAR AND DESC-EFFECTIVE SYSTEM DEFENSE BY DISCIPLINE TROOPS AND BY FORTIFICATION
they would at the same time be necessitated to strengthen the executive arm of government in doing which their constitutions would acquire a progressive direction toward monarchy,X-Y WOULD AT DESC-SAME TIME BE NECESSOIT TO STRENGN EXECUTIVE ARM GOVERNMENT IN DO WHICH X-Y CONSTITUTION WOULD ACQUIRE DESC-PROGRESSIVE DIRECTION TOWARDS MONARCHY
it is of the nature of war to increase the executive at the expense of the legislative authority,X-IT BE NATURE WAR TO INCREASE EXECUTIVE AT EXPENSE DESC-LEGISLATIVE AUTHORITY
the expedients which have been mentioned would soon give the states or confederacies that made use of them a superiority over their neighbors,EXPEDITENT WHICH HAVE BE MENTION WOULD DESC-SOON GIVE STATE OR CONFÉDÉCIACY THAT MAKE USE X-Y SUPERIORITY OVER X-Y NEIGHBOR.
small states or states of less natural strength under vigorous governments and with the assistance of disciplined armies have often triumphed over large states or states of greater natural strength which have been destitute of these advantages,DESC-SMALL STATE OR STATE DESC-LESS DESC-NATURAL STRENGTH UNDER DESC-VIGOROUS GOVERNMENT AND WITH ASSISTANCE DISCIPLINED ARMY HAVE DESC-OFTEN TRUE OVER DESC-LARGE STATE OR STATE DESC-GREATER DESC-NATURAL STRENGTH WHICH HAVE BE DESC-DESTITUDE SE ADVANTAGE
neither the pride nor the safety of the more important states or confederacies would permit them long to submit to this mortifying and adventitious superiority,NEIR PRIDE NOR SAFETY MORE DESC-IMPORTANT STATE OR CONFÉDÉCIACY WOULD PERMIT X-Y DESC-LONG TO SUBMIT TO THIS MONTIFICATE AND DESC-AVENTITIOUS SUPERIORITY
they would quickly resort to means similar to those by which it had been effected to reinstate themselves in their lost preeminence,X-Y WOULD DESC-QUICKLY RESERVE TO MEANS DESC-SIMILAR TO THOSE BY WHICH X-IT HAVE BE EFFECT TO REINSTATE X-MSELVES IN X-Y LOSE PREMINENCE
thus we should in a little time see established in every part of this country the same engines of despotism which have been the scourge of the old world,DESC-THUS X-WE SHOULD IN DESC-LITTLE TIME SEE ESTABLISH IN EVERY PART THIS COUNTRY DESC-SAME ENGINE DESPOTISM WHICH HAVE BE SCOURGE DESC-OLD WORLD
this at least would be the natural course of things and our reasonings will be the more likely to be just in proportion as they are accommodated to this standard,THIS AT DESC-LEAST WOULD BE DESC-NATURAL COURSE THING AND X-WE RATIONING WILL BE MORE DESC-LIKELY TO BE DESC-JUST IN PROPORTION AS X-Y BE ACCOMMODATE TO THIS STANDARD
it may perhaps be asked by way of objection to this why did not standing armies spring up out of the contentions which so often distracted the ancient republics of greece,X-IT MAY DESC-PERHAPS BE ASK BY WAY OBJECTION TO THIS WHY DO DESC-NOT STANDING ARMY SPRING DESC-UP OUT CONTENTION WHICH DESC-SO DESC-OFTEN DISAPPOINT DESC-ANTIQUE REPUBLIC GREECE
different answers equally satisfactory may be given to this question,DESC-DIFFERENT ANSWER DESC-EQUALLY DESC-SATISFACTORY MAY BE GIVE TO THIS QUESTION
there is a wide difference also between military establishments in a country seldom exposed by its situation to internal invasions and in one which is often subject to them and always apprehensive of them,DESC-RE BE DESC-WIDE DIFFERENCE DESC-ALSO BETWEEN DESC-MILITARY ESTABLISHMENT IN COUNTRY DESC-RARELY EXPOSE BY X-ITS SITUATION TO DESC-INTERNAL INVASION AND IN ONE WHICH BE DESC-OFTEN SUBJECT TO X-Y AND DESC-ALWAYS DESC-APPROPRIATE X-Y
the rulers of the former can have a good pretext if they are even so inclined to keep on foot armies so numerous as must of necessity be maintained in the latter,RULER DESC-FORMER CAN HAVE DESC-GOOD PRETEXT IF X-Y BE DESC-EVEN DESC-SO INTEND TO KEEP ON FOOT ARMY DESC-SO DESC-NUMEROUS AS MUST NECESSITY BE MAINTAIN IN DESC-LATTER
these armies being in the first case rarely if at all called into activity for interior defense the people are in no danger of being broken to military subordination,SE ARMY BE IN DESC-FIRST CASE DESC-RARELY IF AT ALL CALL INTO ACTIVITY FOR INTERNET DEFENSE PEOPLE BE IN NO DANGER BE BREAK TO DESC-MILITARY SUBSIDIATION
the laws are not accustomed to relaxations in favor of military exigencies the civil state remains in full vigor neither corrupted nor confounded with the principles or propensities of the other state,LAW BE DESC-NOT ADDICT TO REMAINDER IN FAVOR DESC-MILITARY ESTRICTION DESC-CIVIL STATE REMAIN IN DESC-FULL VIGOR NEIR DESC-CORRUPTED NOR CONFUND WITH PRINCIPLE OR PROPENSITY DESC-OR STATE
the army under such circumstances may usefully aid the magistrate to suppress a small faction or an occasional mob or insurrection but it will be unable to enforce encroachments against the united efforts of the great body of the people,ARMY UNDER DESC-SUCH CIRCUMSTANCE MAY DESC-USEFULLY AID MAGISTRAL TO SUSPEND DESC-SMALL FACTORY OR DESC-OCCASIONAL MOB OR INSURCTION BUT X-IT WILL BE DESC-UNABLE TO ENFORCE ECARPARGMENT AGAINST UNITE EFFORT DESC-GREAT BODY PEOPLE
in a country in the predicament last described the contrary of all this happens,IN COUNTRY IN PREDICAMMENT DESC-LAST DESCRIBE CONTRARY ALL THIS HAPPEN
the perpetual menacings of danger oblige the government to be always prepared to repel it its armies must be numerous enough for instant defense,DESC-PERMANENT MENACANING DANGER OBLIGATE GOVERNMENT TO BE DESC-ALWAYS DESC-PREPARED TO REPEAT X-IT X-ITS ARMY MUST BE DESC-NUMEROUS DESC-ENOUGH FOR DESC-IMMEDIATE DEFENSE
the continual necessity for their services enhances the importance of the soldier and proportionably degrades the condition of the citizen,DESC-CONTINUAL NECESSITY FOR X-Y SERVICE ENHANCE IMPORTANCE SOLDIER AND DESC-PROPORTIONALLY DEGREE CONDITION CITIZEN
the military state becomes elevated above the civil,DESC-MILITARY STATE BECOME ELEVATE ABOVE DESC-CIVIL
the transition from this disposition to that of considering them masters is neither remote nor difficult but it is very difficult to prevail upon a people under such impressions to make a bold or effectual resistance to usurpations supported by the military power,TRANSITION FROM THIS DISPOSITION TO THAT CONSIDER X-Y MAIN BE NEIR DESC-ROUTINE NOR DESC-DIFFICULT BUT X-IT BE DESC-VERY DESC-DIFFICULT TO PREVAIL UPON PEOPLE UNDER DESC-SUCH IMPRESSION TO MAKE DESC-BOLD OR DESC-EFFECTUAL RESISTANCE TO USURPATION SUPPORT BY DESC
the kingdom of great britain falls within the first description,KINGDOM DESC-GREAT BRITAIN FALL WITHIN DESC-FIRST DESCRIPTION
an insular situation and a powerful marine guarding it in a great measure against the possibility of foreign invasion supersede the necessity of a numerous army within the kingdom,DESC-INSULAR SITUATION AND DESC-POWERFUL MARINE GUARD X-IT IN DESC-GREAT MEASURE AGAINST POSSIBILITY DESC-FOREIGN INVASION SUPERSEDE NECESSITY DESC-NUMEROUS ARMY WITHIN KINGDOM
a sufficient force to make head against a sudden descent till the militia could have time to rally and embody is all that has been deemed requisite,DESC-SUFFICIENT FORCE TO MAKE HEAD AGAINST DESC-SUDDEN DECRESSION TILL MILITIUM COULD HAVE TIME TO RALLY AND EMBODY BE ALL THAT HAVE BE REJECT PREREQUISITE
no motive of national policy has demanded nor would public opinion have tolerated a larger number of troops upon its domestic establishment,NO MOTIVATED DESC-NATIONAL POLICY HAVE DEMAND NOR WOULD PUBLIC OPINION HAVE TOLERATE DESC-LARGER NUMBER TROOPS UPON X-ITS DESC-DOMESTIC ESTABLISHMENT
there has been for a long time past little room for the operation of the other causes which have been enumerated as the consequences of internal war,DESC-RE HAVE BE FOR DESC-LONG TIME PAST DESC-LITTLE ROOM FOR OPERATION DESC-OR CAUSE WHICH HAVE BE ENEMERATE AS CONSEQUENCE DESC-INTERNAL WAR
this peculiar felicity of situation has in a great degree contributed to preserve the liberty which that country to this day enjoys in spite of the prevalent venality and corruption,THIS DESC-SPECIAL FECILY SITUATION HAVE IN DESC-GREAT DEGREE CONTRIBUTE TO PRESERVE LIBERTY WHICH THAT COUNTRY TO THIS DAY ENJOY IN SHORT DESC-PRESENTING VENERALITY AND CORRUPTION
t is possible though not easy that the people of that island may be enslaved from other causes but it can not be by the prowess of an army so inconsiderable as that which has been usually kept up within the kingdom,T BE DESC-POSSIBLE THOUGH DESC-NOT DESC-EASY THAT PEOPLE THAT ISLAND MAY BE ENSLAV FROM DESC-OR CAUSE BUT X-IT CAN DESC-NOT BE BY PROWESS ARMY DESC-SO DESC-INCONSIDERABLE AS THAT WHICH HAVE BE DESC-USUALLY KEEP DESC-UP WITHIN KINGDOM
if we are wise enough to preserve the union we may for ages enjoy an advantage similar to that of an insulated situation,IF X-WE BE DESC-WISE DESC-ENOUGH TO PRESERVE UNION X-WE MAY FOR AGE ENJOY ADVANTAGE DESC-SIMILAR TO THAT DESC-ISLATED SITUATION
europe is at a great distance from us,EUROPE BE AT DESC-GREAT DISTANCE FROM X-WE
her colonies in our vicinity will be likely to continue too much disproportioned in strength to be able to give us any dangerous annoyance,X-SHE COLONY IN X-WE NEIGHBORHOOD WILL BE DESC-LIKELY TO CONTINUE DESC-TOO DESC-MUCH DISPROPORTION IN STRENGTH TO BE DESC-ABLE TO GIVE X-WE ANY DESC-DANGEROUS ANNOYANCE
extensive military establishments can not in this position be necessary to our security,DESC-EXTENSIVE DESC-MILITARY ESTABLISHMENT CAN DESC-NOT IN THIS POSITION BE DESC-NECESSARY TO X-WE SECURITY
this is an idea not superficial or futile but solid and weighty,THIS BE IDEA DESC-NOT DESC-SUPERFECIAL OR DESC-FUTILE BUT DESC-SOLID AND HEIGHTY
it deserves the most serious and mature consideration of every prudent and honest man of whatever party,X-IT DESERVE MOST DESC-SERIOUS AND DESC-MATURE CONSIDERATION EVERY DESC-PRUDENT AND DESC-HONEST MAN WHATEVER PARTY
the airy phantoms that flit before the distempered imaginations of some of its adversaries would quickly give place to the more substantial forms of dangers real certain and formidable,DESC-AIRY PHANTOM THAT FLICT BEFORE DESC-DISTEMPTED IMAGINATION SOME X-ITS AGENCY WOULD DESC-QUICKLY GIVE PLACE TO MORE DESC-SUBSTANTIAL FORM DANGER DESC-REAL DESC-CERTAIN AND DESC-FORCEIGN
the union as a safeguard against domestic faction and insurrection for the independent journal,UNION AS SAFEGUARD AGAINST DESC-DOMESTIC FACTORY AND INSURRECTION FOR DESC-INDEPENDENT JOURNAL
to the people of the state of new york a firm union will be of the utmost moment to the peace and liberty of the states as a barrier against domestic faction and insurrection,TO PEOPLE STATE NEW YORK FIRM UNION WILL BE DESC-UTMOST MOMENT TO PEACE AND LIBERTY STATE AS BARRIER AGAINST DESC-DOMESTIC FACTORY AND INSURCTION
if they exhibit occasional calms these only serve as shortlived contrast to the furious storms that are to succeed,IF X-Y EXPOSE DESC-OCCASIONAL DESC-CALM SE DESC-ONLY SERVE AS DESC-SHORTLIVE CONTRAST TO DESC-FURNIOUS STORM THAT BE TO SUCCEED
if now and then intervals of felicity open to view we behold them with a mixture of regret arising from the reflection that the pleasing scenes before us are soon to be overwhelmed by the tempestuous waves of sedition and party rage,IF DESC-NOW AND DESC-N INTERVAL FELICITY DESC-OPEN TO VIEW X-WE BEHOLD X-Y WITH MIXTURE REGRET ARISE FROM REFLECTION THAT DESC-PLEASANT SCENE BEFORE X-WE BE DESC-SOON TO BE OVERWARD BY DESC-TEMPESTUOUS WAVE SEDION AND PARTY RAISE
from the disorders that disfigure the annals of those republics the advocates of despotism have drawn arguments not only against the forms of republican government but against the very principles of civil liberty,FROM DIAGNOSTIC THAT DISFIRM ANNALES THOSE REPUBLIC ADVOCATE DESPOTISM HAVE DRAW ARGUMENT DESC-NOT DESC-ONLY AGAINST FORM DESC-REPUBLICIAN GOVERNMENT BUT AGAINST DESC-VERY PRINCIPLE DESC-CIVIL LIBERTY
they have decried all free government as inconsistent with the order of society and have indulged themselves in malicious exultation over its friends and partisans,X-Y HAVE DECRIE ALL DESC-FREE GOVERNMENT AS DESC-INCONSISTENT WITH ORDER SOCIETY AND HAVE EXPLAIN X-MSELVES IN DESC-MORAL XULTATION OVER X-ITS FRIEND AND DESC-POLITICAL
happily for mankind stupendous fabrics reared on the basis of liberty which have flourished for ages have in a few glorious instances refuted their gloomy sophisms,DESC-HAPPILY FOR MANNER DESC-STANDENDOUS TEXT REARE ON BASIS LIBERTY WHICH HAVE FLORISH FOR AGE HAVE IN DESC-FEW DESC-GREAT INSTANCE REFUTE X-Y DESC-GLOMY SOPHISM
and i trust america will be the broad and solid foundation of other edifices not less magnificent which will be equally permanent monuments of their errors,AND X-I TRUST AMERICA WILL BE DESC-BROAD AND DESC-SOLID FOUNDATION DESC-OR EDIFICE DESC-NOT DESC-LESS DESC-MAGNIFICENT WHICH WILL BE DESC-EQUALLY DESC-PERMANENT MONITOR X-Y ERROR
but it is not to be denied that the portraits they have sketched of republican government were too just copies of the originals from which they were taken,BUT X-IT BE DESC-NOT TO BE DENY THAT PORTRAIT X-Y HAVE SKETCH DESC-REPUBLICIAN GOVERNMENT BE DESC-TOO DESC-JUST COVER DESC-ORIGINAL FROM WHICH X-Y BE TAKE
if it had been found impracticable to have devised models of a more perfect structure the enlightened friends to liberty would have been obliged to abandon the cause of that species of government as indefensible,IF X-IT HAVE BE FIND DESC-IMPERATIBIL TO HAVE DISCOVER MODEL MORE DESC-PERFECT STRUCTURE DESC-ENLIGHTEN FRIEND TO LIBERTY WOULD HAVE BE OBLIGATE TO ABANDON CAUSE THAT SPECIES GOVERNMENT AS DESC-INDEFENSIBLE
the science of politics however like most other sciences has received great improvement,SCIENCE POLITICS DESC-HOWEVER LIKE MOST DESC-OR SCIENCE HAVE RECEIVE DESC-GREAT IMPROVEMENT
the efficacy of various principles is now well understood which were either not known at all or imperfectly known to the ancients,EFFICIENCY DESC-VARIOUS PRINCIPLE BE DESC-NOW DESC-WELL UNDERSTAND WHICH BE EIR DESC-NOT KNOW AT ALL OR DESC-IMPACTLY KNOW TO DESC-ANTIQUE
they are means and powerful means by which the excellences of republican government may be retained and its imperfections lessened or avoided,X-Y BE MEANS AND DESC-POWERFUL MEANS BY WHICH EXCELLENCE DESC-REPUBLIC GOVERNMENT MAY BE RETAIN AND X-ITS IMPAIRMENT DESC-LESSER OR AVOID
the latter is that which immediately concerns the object under consideration,DESC-LATTER BE THAT WHICH DESC-IMMEDIATELY CONCERN OBJECTIVE UNDER CONSIDERATION
it will however be of use to examine the principle in its application to a single state which shall be attended to in another place,X-IT WILL DESC-HOWEVER BE USE TO EXAMINE PRINCIPLE IN X-ITS APPLICATION TO DESC-SINGLE STATE WHICH SHALL BE ATTEND TO IN ANOR PLACE
the utility of a confederacy as well to suppress faction and to guard the internal tranquillity of states as to increase their external force and security is in reality not a new idea,UTILISATION CONFÉDÉRATIONACY AS DESC-WELL TO SUPPRESS FACTORY AND TO GUARD DESC-INTERNAL TRANSATILITY STATE AS TO INCREASE X-Y DESC-EXTERNAL FORCE AND SECURITY BE IN REALITY DESC-NOT DESC-NEW IDEA
it has been practiced upon in different countries and ages and has received the sanction of the most approved writers on the subject of politics,X-IT HAVE BE PRACTICE UPON IN DESC-DIFFERENT COUNTRY AND AGE AND HAVE RECEIVE SANCTION MOST APPROVE WRITER ON SUBJECT POLITICS
the opponents of the plan proposed have with great assiduity cited and circulated the observations of montesquieu on the necessity of a contracted territory for a republican government,OPPONENT PLAN PROPOSE HAVE WITH DESC-GREAT ASIDUITY CITE AND CIRCULATE OBSERVATION MOSTESQUIEU ON NECESSITY CONTRACT TERRITORY FOR DESC-REPUBLIC GOVERNMENT
but they seem not to have been apprised of the sentiments of that great man expressed in another part of his work nor to have adverted to the consequences of the principle to which they subscribe with such ready acquiescence,BUT X-Y SEEM DESC-NOT TO HAVE BE ADVERT SENTENCE THAT DESC-GREAT MAN DESC-EXPRESS IN ANOR PART X-HE WORK NOR TO HAVE ADVERTISE TO CONSEQUENCE PRINCIPLE TO WHICH X-Y SUBSCRIBE WITH DESC-SUCH DESC-READY ACQUIESE
when montesquieu recommends a small extent for republics the standards he had in view were of dimensions far short of the limits of almost every one of these states,WHEN MOSTESQUIEU RECOMMEND DESC-SMALL EXTENT FOR REPUBLIC STANDARD X-HE HAVE IN VIEW BE DIMENSION DESC-FAR DESC-SHORT LIMIT DESC-ALMOST EVERY ONE SE STATE
neither virginia massachusetts pennsylvania new york north carolina nor georgia can by any means be compared with the models from which he reasoned and to which the terms of his description apply,NEIR VANESS MASSACHUSETTS PENSYLVANIUM DESC-NEW YORK DESC-NORTH CAROLINA NOR GEORGIUM CAN BY ANY MEANS BE COMPARE WITH MODEL FROM WHICH X-HE REASON AND TO WHICH TERM X-HE DESCRIMINATION APPLY
some of the writers who have come forward on the other side of the question seem to have been aware of the dilemma and have even been bold enough to hint at the division of the larger states as a desirable thing,SOME WRITER WHO HAVE COME DESC-FORWARD ON DESC-OR SIDE QUESTION SEEM TO HAVE BE DESC-AWARE DILIGHT AND HAVE DESC-EVEN BE DESC-BOLD DESC-ENOUGH TO THINK AT DIVISION DESC-LARGER STATE AS DESC-DESIRABLE THING
and this is the true question in the discussion of which we are at present interested,AND THIS BE DESC-TRUE QUESTION IN DISCUSSION WHICH X-WE BE AT DESC-PRESENT DESC-INTERESTED
so far are the suggestions of montesquieu from standing in opposition to a general union of the states that he explicitly treats of a confederate republic as the expedient for extending the sphere of popular government and reconciling the advantages of monarchy with those of republicanism,DESC-SO DESC-FAR BE SUGGESTION MOSTESQUIEU FROM STAND IN OPPOSITION TO DESC-GENERAL UNION STATE THAT X-HE DESC-EXPLICITLY TREAT CONFEDERATE REPUBLIC AS EXPEDITENT FOR EXTEND SPHERE DESC-POPULAR GOVERNMENT AND RECONCILE ADVANTAGE MONARCHY WITH THOSE REPUBLICANISM
i mean a confederate republic,X-I MEAN CONFEDERATE REPUBLIC
this form of government is a convention by which several smaller states agree to become members of a larger one which they intend to form,THIS FORM GOVERNMENT BE CONVENTION BY WHICH DESC-SEVERAL DESC-SMALLER STATE AGREE TO BECOME MEMBER DESC-LARGER ONE WHICH X-Y INTEND TO FORM
it is a kind of assemblage of societies that constitute a new one capable of increasing by means of new associations till they arrive to such a degree of power as to be able to provide for the security of the united body,X-IT BE KIND ASSOCIATION SOCIETY THAT CONSTITUTE DESC-NEW ONE DESC-CAPABLE INCREASE BY MEANS DESC-NEW ASSOCIATION UNTIL X-Y ARRIVE TO DESC-SUCH DEGREE POWER AS TO BE DESC-ABLE TO PROVIDE FOR SECURITY UNITE BODY
a republic of this kind able to withstand an external force may support itself without any internal corruptions,REPUBLIC THIS KIND DESC-ABLE TO THOROUGH DESC-EXTERNAL FORCE MAY SUPPORT X-ITSELF WITHOUT ANY DESC-INTERNAL CORRUPTION
the form of this society prevents all manner of inconveniences,FORMAT THIS SOCIETY PREVENT ALL MANNER INCONVENIENCE
if a single member should attempt to usurp the supreme authority he could not be supposed to have an equal authority and credit in all the confederate states,IF DESC-SINGLE MEMBER SHOULD ATTEMPT TO USURP DESC-SUPERSE AUTHORITY X-HE COULD DESC-NOT BE SUPPOSE TO HAVE DESC-EQUAL AUTHORITY AND CREDIT IN ALL CONFEDERATE STATE
were he to have too great influence over one this would alarm the rest,BE X-HE TO HAVE DESC-TOO DESC-GREAT INFLUENCE OVER ONE THIS WOULD ALARM REST
were he to subdue a part that which would still remain free might oppose him with forces independent of those which he had usurped and overpower him before he could be settled in his usurpation,BE X-HE TO SUBSDUE PART THAT WHICH WOULD DESC-STILL REMAIN DESC-FREE MIGHT OPPOSE X-HE WITH FORCE DESC-INDEPENDENT THOSE WHICH X-HE HAVE USURP AND OVERPOWER X-HE BEFORE X-HE COULD BE SETTLEMENT IN X-HE USURPATION
should a popular insurrection happen in one of the confederate states the others are able to quell it,SHOULD DESC-POPULOUS INSURRECTION HAPPEN IN ONE CONFEDERATE STATE DESC-OR BE DESC-ABLE TO QUELL X-IT
should abuses creep into one part they are reformed by those that remain sound,SHOULD ABUSE CROWN INTO ONE PART X-Y BE REFORM BY THOSE THAT REMAIN SOUND
the state may be destroyed on one side and not on the other the confederacy may be dissolved and the confederates preserve their sovereignty,STATE MAY BE DESTROY ON ONE SIDE AND DESC-NOT ON DESC-OR CONFÉDÉRACY MAY BE DISSOLVED AND CONFÉDÉRATIVE PRESERVE X-Y SOVEREIGNTY
as this government is composed of small republics it enjoys the internal happiness of each and with respect to its external situation it is possessed by means of the association of all the advantages of large monarchies,AS THIS GOVERNMENT BE COMPOSITE DESC-SMALL REPUBLIC X-IT ENJOY DESC-INTERNAL HAPPINESS EACH AND WITH RESPECT TO X-ITS DESC-EXTERNAL SITUATION X-IT BE POSSESS BY MEANS ASSOCIATION ALL ADVANTAGE DESC-LARGE MONARCHY
i have thought it proper to quote at length these interesting passages because they contain a luminous abridgment of the principal arguments in favor of the union and must effectually remove the false impressions which a misapplication of other parts of the work was calculated to make,X-I HAVE THINK X-IT DESC-PROPER TO QUOTE AT LENGTH SE DESC-INTERESTING PASSAGE BECAUSE X-Y CONTAIN DESC-LUXURIOUS ABRIDGMENT PRINCIPAL ARGUMENT IN FAVOR UNION AND MUST DESC-EFFECTUALLY REMOVE DESC-FALSE IMPRESSION WHICH MISSAPTION DESC-OR PART WORK BE COLL
they have at the same time an intimate connection with the more immediate design of this paper which is to illustrate the tendency of the union to repress domestic faction and insurrection,X-Y HAVE AT DESC-SAME TIME DESC-INTIMATE CONNECTION WITH MORE DESC-IMMEDIATE DESIGN THIS PAPER WHICH BE TO ILLUSTRATE TENDANCE UNION TO REPRESS DESC-DOMESTIC FACTORY AND INSURRECTION
a distinction more subtle than accurate has been raised between a confederacy and a consolidation of the states,DIFFERENCE MORE DESC-SENSITIVE THAN DESC-ACCURATE HAVE BE RAISE BETWEEN CONFEDERACY AND CONSOLIDATION STATE
the essential characteristic of the first is said to be the restriction of its authority to the members in their collective capacities without reaching to the individuals of whom they are composed,DESC-ESSENTIAL CHARACTERISTIC DESC-FIRST BE SAY TO BE RESTRICTION X-ITS AUTHORITY TO MEMBER IN X-Y DESC-COLLECTIVE CAPACITY WITHOUT REACH TO INDIVIDUAL WHOM X-Y BE COMPOSITE
it is contended that the national council ought to have no concern with any object of internal administration,X-IT BE CONTEND THAT DESC-NATIONAL COUNCIL OUGHT TO HAVE NO CONCERN WITH ANY OBJECT DESC-INTERNAL ADMINISTRATION
an exact equality of suffrage between the members has also been insisted upon as a leading feature of a confederate government,DESC-EXACT EQUALITY SUFFERAGE BETWEEN MEMBER HAVE DESC-ALSO BE INSIST UPON AS LEAD FEATURE CONFEDERATE GOVERNMENT
these positions are in the main arbitrary they are supported neither by principle nor precedent,SE POSITION BE IN DESC-MAIN DESC-ARBITRARY X-Y BE SUPPORT NEIR BY PRINCIPLE NOR PREPARATION
and it will be clearly shown in the course of this investigation that as far as the principle contended for has prevailed it has been the cause of incurable disorder and imbecility in the government,AND X-IT WILL BE DESC-CLEARLY SHOW IN COURSE THIS INVESTIGATION THAT AS DESC-FAR AS PRINCIPLE CONTEND FOR HAVE PREVAIL X-IT HAVE BE CAUSE DESC-INCURABLE DISORDER AND IMBECILIITY IN GOVERNMENT
the definition of a confederate republic seems simply to be an assemblage of societies or an association of two or more states into one state,DEFINITION DESC-CONFEBRATIVE REPUBLIC SEEM DESC-SIMPLY TO BE ASSOCIATION SOCIETY OR ASSOCIATION TWO OR MORE STATE INTO ONE STATE
the extent modifications and objects of the federal authority are mere matters of discretion,EXTENT MODIFICATION AND OBJECT FEDERAL AUTHORITY BE DESC-MERE MATTER DISCRETION
