Input,Generated Gloss
extensive military establishments can not in this position be necessary to our security,EXTENSIVE DESC-MILITARY ESTABLISHMENT CANNOT IN THIS POSITION BE DEPENDENCY TO X-WE SECURITY
this is an idea not superficial or futile but solid and weighty,THIS BE IDEA DESC-NOT SURPRISTIC OR FUTILE BUT SOLID AND WEIGHTY
it deserves the most serious and mature consideration of every prudent and honest man of whatever party,X-IT DESERVE MOST DESC-SERIOUS AND MULTIPLE CONSIDERATION EVERY PRINCIPAL AND HONEST MAN WHATEVER PARTY
the airy phantoms that flit before the distempered imaginations of some of its adversaries would quickly give place to the more substantial forms of dangers real certain and formidable,DESC-AIRY PHANTOM THAT FLIT BEFORE DISTEMPERATE IMAGINATION SOME X-ITS ANCIENTY WOULD QUICKLY GIVE PLACE TO MORE SUBSTANTIAL FORM DANGER DESPITE DELIGHT AND BRILLIANT
the union as a safeguard against domestic faction and insurrection for the independent journal,UNION AS SAFEGUARD AGAINST DESC-DOMESTIC FACTORY AND INSURRECTION FOR INDEPENDENT JOURNAL
to the people of the state of new york a firm union will be of the utmost moment to the peace and liberty of the states as a barrier against domestic faction and insurrection,TO PEOPLE STATE NEW YORK FIRM UNION WILL BE DESC-UTMOST MOMENT TO PEACE AND LIBERTY STATUTORY AS BARRIER AGAINST DOMESTIC FACTORY AND INSURRECTION
if they exhibit occasional calms these only serve as shortlived contrast to the furious storms that are to succeed,IF X-Y EXPOSE DESC-OPERATIONALLY CAUTION SE DOUBT SERVE AS SHORTLIVE CONTRAST TO FURROUS STORM THAT BE TO SUCCEED
if now and then intervals of felicity open to view we behold them with a mixture of regret arising from the reflection that the pleasing scenes before us are soon to be overwhelmed by the tempestuous waves of sedition and party rage,IF DESC-NOW AND NON INTERVAL FECILITY OPEN TO VIEW X-WE BEHOLD Y WITH MIXTURE REGRET ARISE FROM REFLECTION THAT PLEASANT SCENE BEFORE THROUGHLY TO BE OVERWHELM BY TEMPTUSOUS WAVE SEDION AND PARTY RAGE
from the disorders that disfigure the annals of those republics the advocates of despotism have drawn arguments not only against the forms of republican government but against the very principles of civil liberty,FROM DIAGNOSTIC THAT DISFIRM ANNALES THOSE REPUBLIC ADVOCATE DESPOTISM HAVE DRAW ARGUMENT DESC-NOT DOUBT AGAINST FORM RUBYAN GOVERNMENT BUT ANYMOUS PRINCIPLE CIVIL LIBERTY
they have decried all free government as inconsistent with the order of society and have indulged themselves in malicious exultation over its friends and partisans,X-Y HAVE DECRIE ALL DESC-FREE GOVERNMENT AS DESPITE WITH ORDER SOCIETY AND HAVE EXPLAIN THOSE WHO MEANINGS IN DISASTEROUS ELULATION OVER ITS FRIEND AND POLITICIAN
happily for mankind stupendous fabrics reared on the basis of liberty which have flourished for ages have in a few glorious instances refuted their gloomy sophisms,DESC-HAPPILY FOR MAN STRANDENDOUS FEELING REAR ON BASIS LIBERTY WHICH HAVE FLOWER FOR EIGHT YEAR HAVE IN SOME GLENDAROUS INSTANCE REFUTE X-Y GLOOMY SOPHISM
and i trust america will be the broad and solid foundation of other edifices not less magnificent which will be equally permanent monuments of their errors,AND X-I TRUST AMERICA WILL BE DESC-BROAD AND STUNNING FOUNDATION EXTERNAL EDIGIC DISCOVER NOT MORE MAGNIFICANT WHICH WILL BELIEVE EQUALLY PERMANENT MONITOR Y ERROR
but it is not to be denied that the portraits they have sketched of republican government were too just copies of the originals from which they were taken,BUT X-IT BE DESC-NOT TO BE DENY THAT PORTRAPHOLIS MY HAVE SKETCH DECORATIVE REPUBLIC GOVERNMENT BE THREE DOUBT CORRESPONDENT ORIGINAL FROM WHICH I WAS TAKE
if it had been found impracticable to have devised models of a more perfect structure the enlightened friends to liberty would have been obliged to abandon the cause of that species of government as indefensible,IF X-IT HAVE BE FIND DESC-IMPRECIABLE TO HAVE DEVISE MODEL MORE PERFECT STRUCTURE ENLIGHTEN FRIEND TO LIBERTY WOULD HAVE BEEN OBLIGATE TO ABANDON CAUSE THAT SPECIES GOVERNMENT AS INDEFENSIBLE
the science of politics however like most other sciences has received great improvement,SCIENCE POLITICS DESC-HOWEVER LIKE MOST ORDER SKYPE HAVE RECEIVE GREAT IMPROVEMENT
the efficacy of various principles is now well understood which were either not known at all or imperfectly known to the ancients,EFFICIENCY DESC-VARIOUS PRINCIPLE BE DOUBT UNDERSTAND WHICH BE EIR NOT KNOW AT ALL OR IMPERFECTLYKNOW TO ANTIQUE
they are means and powerful means by which the excellences of republican government may be retained and its imperfections lessened or avoided,X-Y BE MESURE AND DESC-POWERFUL MEANS BY WHICH EXCELLENCE REPUBLIC GOVERNMENT MAY BE RETEND AND SUCH IMPAIRMENT DELETE OR AVOID
the latter is that which immediately concerns the object under consideration,LATTER BE THAT WHICH DESC-IMMEDIATELY CONCERN OBJECTIVE UNDER CONSIDERATION
it will however be of use to examine the principle in its application to a single state which shall be attended to in another place,Y WILL DESC-HOWEVER BE USE TO EXAMINE PRINCIPLE IN X-ITS APPLICATION TO SMALL STATE WHICH SHALL BE ACCOMPANY TO IN ANOR PLACE
the utility of a confederacy as well to suppress faction and to guard the internal tranquillity of states as to increase their external force and security is in reality not a new idea,UTILISATION CONFÉDÉRATIVE AS DESC-WELL TO SUPPRESS FACTORY AND TO GUARD INTERNAL TRANQUILITY STATE AS TO INCREASE X-Y EXTERNAL FORCE AND SECURITY BE IN REALITY NOT NEW IDEA
it has been practiced upon in different countries and ages and has received the sanction of the most approved writers on the subject of politics,X-IT HAVE BE PRACTICE UPON IN DESC-DIFFERENT COUNTRY AND AGE AND HAVE RECEIVE SANCTION MOST APPROVE WRITER ON SUBJECT POLITICS
the opponents of the plan proposed have with great assiduity cited and circulated the observations of montesquieu on the necessity of a contracted territory for a republican government,OPPONENT PLAN PROPOSE HAVE WITH DESC-GREAT ASIDUITY CITE AND CIRCULATE OBSERVATION MOUNTESQUIEU ON NECESSITY CONTRACT TERRITORY FOR REPUBLIC GOVERNMENT
but they seem not to have been apprised of the sentiments of that great man expressed in another part of his work nor to have adverted to the consequences of the principle to which they subscribe with such ready acquiescence,BUT X-Y SEEM DESC-NOT TO HAVE BE ACCOMPANY SENTIMENT THAT GROSS MAN DESPITE IN ANOR PART HE WORK NOR TO have ADVERTISE TO CONSEQUENCE PRINCIPLE TO WHICH Y SUBSCRIBE WITH SUCH DOUBT ACCQUIESE
when montesquieu recommends a small extent for republics the standards he had in view were of dimensions far short of the limits of almost every one of these states,WHEN MOUNTESQUIEU RECOMMEND DESC-SMALL EXTENT FOR REPUBLIC STANDARD X-HE HAVE IN VIEW BE DIMENSION FINALLY SKIRL LIMIT ALMOST EVERY ONE SE STATE
neither virginia massachusetts pennsylvania new york north carolina nor georgia can by any means be compared with the models from which he reasoned and to which the terms of his description apply,NEIR VANCOUVER MASSACHUSETTS PENSYLVANIUM DESC-NEW YORK NORD CAROLINA NOR GEORGIUM CAN BY ANY MEANS BE COMPARE WITH MODEL FROM WHICH X-HE REASON AND TO SHORTLY TER MY DESCRIMINATION APPLY
some of the writers who have come forward on the other side of the question seem to have been aware of the dilemma and have even been bold enough to hint at the division of the larger states as a desirable thing,SOME WRITER WHO HAVE COME DESC-FORWARD ON EXTERN SIDE QUESTION SEEM TO HAVE BE ADVISE DILICIARY AND HAVE THREAD AT DISTRIBUTION MORE STATE AS DESIRABLE THING
and this is the true question in the discussion of which we are at present interested,AND THIS BE DESC-TRUE QUESTION IN DISCUSSION OF WHICH X-WE BE AT DOCUMENT INTERESTED
so far are the suggestions of montesquieu from standing in opposition to a general union of the states that he explicitly treats of a confederate republic as the expedient for extending the sphere of popular government and reconciling the advantages of monarchy with those of republicanism,SO DESC-FAR BE SUGGESTIONS MOUNTESQUIEU FROM STAND IN OPPOSITION TO GENERAL UNION STATE THAT X-HE EXPLICITLY TREAT CONFEDERATE REPUBLIC AS EMPERIENT FOR EDGE SPHERE PUBLIC GOVERNMENT AND RECONCILIATE ADVANTAGE MONARCHY WITH THOSE RIGITANISM
i mean a confederate republic,X-I MEAN CONFEDERATE REPUBLIC
this form of government is a convention by which several smaller states agree to become members of a larger one which they intend to form,THIS FORM GOVERNMENT BE CONVENTION BY WHICH DESC-SEVERAL TALLER STATE AGREE TO BECOME MEMBER LENGTHIER ONE WHERE X-Y INTENTION TO FORME
it is a kind of assemblage of societies that constitute a new one capable of increasing by means of new associations till they arrive to such a degree of power as to be able to provide for the security of the united body,X-IT BE KIND ACCESSORY SOCIETY THAT CONSTITUTE DESC-NEW ONE CAPABLE INCREASE BY MEANS NEW ASSOCIATION UNTIL THE ATTAIN TO SUCH DEGREE POTENTIAL AS TO BE ABLE TO PROVIDE FOR SECURITY UNITE BODY
a republic of this kind able to withstand an external force may support itself without any internal corruptions,REPUBLIC THIS KIND DESC-ABLE TO THOROUGH EMISSIONARY FORCE MAY SUPPORT X-ITSELF WITHOUT ANY INTERNAL CORRUPTION
the form of this society prevents all manner of inconveniences,FORM THIS SOCIETY PREVENT ALL MANNER INCONVENIENCE
if a single member should attempt to usurp the supreme authority he could not be supposed to have an equal authority and credit in all the confederate states,IF DESC-SINGLE MEMBER SHOULD ATTEMPT TO USURP SUCCESSIVE AUTHORITY X-HE COULD NOT BE SUPPOSE TO HAVE EQUIVALENT ADMINISTRATION AND CREDIT IN ALL CONFEDERATE STATE
were he to have too great influence over one this would alarm the rest,BE X-HE TO HAVE DESC-TOO GROSS INFLUENCE OVER ONE THIS WOULD ALARM REST
were he to subdue a part that which would still remain free might oppose him with forces independent of those which he had usurped and overpower him before he could be settled in his usurpation,BE X-HE TO SUBSDUE PART THAT WHICH WOULD DESC-STILL REMAIN FREE MIGHT OPPOSE HIS WITH FORCE INDEPENDENT THOSE SHORT AND OVERPOTENTIAL HIM BEFORE I COULD BE SIT IN HY USURPATION
should a popular insurrection happen in one of the confederate states the others are able to quell it,SHOULD DESC-POPULAR INSURRECTION HAPPEN IN ONE CONFÉDÉRATIVE STATE ALTERNATIVE BE ABLE TO QUELL X-IT
should abuses creep into one part they are reformed by those that remain sound,SHOULD ABUSE CREEP INTO ONE PART X-Y BE REFORM BY THOSE THAT REMAIN SOUND
the state may be destroyed on one side and not on the other the confederacy may be dissolved and the confederates preserve their sovereignty,STATE MAY BE DESTROY ON ONE SIDE AND DESC-NOT ON ORGANIZATION CONFÉDÉRATIVE MAYBE DISSOLVED AND CONFEDERATE PRESERVE X-Y SOVEREIGNTY
as this government is composed of small republics it enjoys the internal happiness of each and with respect to its external situation it is possessed by means of the association of all the advantages of large monarchies,AS THIS GOVERNMENT BE COMPOSITION DESC-SMALL REPUBLIC X-IT ENJOY INTERNAL HAPPINESS EACH AND WITH RESPECT TO SUBJECT EXTERNAL SITUATION IT BE POSSESS BY MEANS ASSOCIATION ALL ADVANTAGE LARGE MONARCHY
i have thought it proper to quote at length these interesting passages because they contain a luminous abridgment of the principal arguments in favor of the union and must effectually remove the false impressions which a misapplication of other parts of the work was calculated to make,X-I HAVE THINK IT DESC-PROPER TO QUOTE AT LENGTH SE INTERESTING PASSAGE BECAUSE SHE CONTAIN LUMINOUS ABRIDGMENT PRINCIPAL ARGUMENT IN FAVOR UNION AND MUST DESPITELY REMOVE DISASTER FEW IMPRESSION WHICH MISAPPLICATION OR PART WORK BE CARACTERISE TO MAKE
they have at the same time an intimate connection with the more immediate design of this paper which is to illustrate the tendency of the union to repress domestic faction and insurrection,X-Y HAVE AT DESC-SAME TIME INDIVIDUAL CONNECTION WITH MORE IMMEDIATE DESIGN THIS PAPER WHICH BE TO ILLUSTRATE TENDENCY UNION TO REPRESS DOMESTIC FACTORY AND INSURRECTION
a distinction more subtle than accurate has been raised between a confederacy and a consolidation of the states,DIFFERENCE MORE DESC-SIGNIFICANT THAN ACCURATE HAVE BE RAISE BETWEEN CONFEDERACY AND CONSOLIDATION STATE
the essential characteristic of the first is said to be the restriction of its authority to the members in their collective capacities without reaching to the individuals of whom they are composed,DESC-ESSENTIAL CHARACTERISTIC DIFFERENTLY BE SAY TO BE RESTRICTION X-ITS AUTHORITY TO MEMBER IN SOME DEPENDENT COLLABORATIVE CAPACITY WITHOUT REACH TO INDIVIDUAL WHOM SHE BE COMPOSITE
it is contended that the national council ought to have no concern with any object of internal administration,X-IT BE CONTAMINATE THAT DESC-NATIONAL COUNCIL OUGHT TO HAVE NO CONCERN WITH ANY OBJECT INTERNAL ADMINISTRATION
an exact equality of suffrage between the members has also been insisted upon as a leading feature of a confederate government,DESC-EXACT EQUALITY SUFFGRAGE BETWEEN MEMBER HAVE ALSO BE INSIST UPON AS LEAD FEATURE CONFEDERATE GOVERNMENT
these positions are in the main arbitrary they are supported neither by principle nor precedent,SE POSITION BE IN DESC-MAIN DISCIPLINE X-Y BE SUPPORT NEIR BY PRINCIPLE NOR PRECEDENCY
and it will be clearly shown in the course of this investigation that as far as the principle contended for has prevailed it has been the cause of incurable disorder and imbecility in the government,AND X-IT WILL BE DESC-CLEARLY SHOW IN COURSE THIS INVESTIGATION THAT ASS FAR AS PRINCIPLE CONTEND FOR HAVE PREVAIL EQUALLY HAVE BE CAUSE INTANGIBLE DISORDER AND IMBECILITY IN GOVERNMENT
the definition of a confederate republic seems simply to be an assemblage of societies or an association of two or more states into one state,DEFINITION CONFEDERATE REPUBLIC SEEM DESC-SIMPLY TO BE ASSEMBLY SOCIETY OR ASSOCIATION TWO OR MORE STATE INTO ONE STATUTE
the extent modifications and objects of the federal authority are mere matters of discretion,EXTENT MODIFICATION AND OBJECT FEDERAL AUTHORITY BE DESC-MERE MATTER DISCRETION
the proposed constitution so far from implying an abolition of the state governments makes them constituent parts of the national sovereignty by allowing them a direct representation in the senate and leaves in their possession certain exclusive and very important portions of sovereign power,PROPOSE CONSTITUTIONS DESC-SO FAR FROM IMPLY ABOLITION STATE GOVERNMENT MAKE X-Y CONSIDERANT PART NATIONAL SOVEREIGNTY BY ALLOW Y DIRECT REPRESENTATION IN SENATE AND LEAVE IN THREE POSSIBILITIES CERTAIN EXCLUSIVE AND DELICIOUS PRECEDENT SUBJECTIVE POWER
this fully corresponds in every rational import of the terms with the idea of a federal government,THIS DESC-FULLY CORRESPOND IN EVERY REASONAL IMPORT TERM WITH IDEA FEDERAL GOVERNMENT
in the lycian confederacy which consisted of twentythree cities or republics the largest were entitled to three votes in the common council those of the middle class to two and the smallest to one,IN LYCIAN CONFEDERACY WHICH CONSIST TWENTYTHREE CITY OR REPUBLIC DESC-LARGEST BE ENTITLE TO 3 VOTE IN COUNCIL THOSE MIDDLE CLASS TO TWO AND SMALLEST TO ONE
the common council had the appointment of all the judges and magistrates of the respective cities,DESC-COMMON COUNCIL HAVE APPOINTMENT ALL JUDGE AND JURISDICTOR DE RESPECTIVE CITY
this was certainly the most delicate species of interference in their internal administration for if there be any thing that seems exclusively appropriated to the local jurisdictions it is the appointment of their own officers,THIS BE DESC-CERTAINLY MOST DELICIOUS SPECIES INTERFERENCE IN X-Y INTERNAL ADMINISTRATION FOR WHER ANY THING THAT SEEM EXCLUSIVELY APPROPRIATE TO LOCAL JURISDICTION IT BE APPOINTMENT THROUGH SECOND OFFICER
yet montesquieu speaking of this association says were i to give a model of an excellent confederate republic it would be that of lycia,DESC-YET MONTESQUIEU SPEAKING THIS ASSOCIATION SAY BE X-I TO GIVE MODEL EXCELLENT CONFEDERATE REPUBLIC IT WOULD BE THAT LYCIA
thus we perceive that the distinctions insisted upon were not within the contemplation of this enlightened civilian and we shall be led to conclude that they are the novel refinements of an erroneous theory,DESC-THUS X-WE PERCEIVE THAT DISTINCTION INSIST UPON BE DESPITE WITHIN CONSIDERATION THIS ENELIGHTENED CARLIAMENTARY AND WE SHALL BE LEAD TO CONCLUDE THAT THEY BE NOVEL FINISHMENT ERROONEOUS THEORY
1 spirit of lawa vol i book ix chap i,1 SPIRIT LAWA VO X-I BOOK IX CHAP I
the same subject continued the union as a safeguard against domestic faction and insurrection from the new york packet,SAME SUBJECT CONTINUE UNION AS SAFEGUARD AGAINST DESC-DOMESTIC FACTORY AND INSURRECTION FROM NEW YORK PACKAGE
friday november 23 1787,FRIDAY NOVEMBER 23 1787
to the people of the state of new york among the numerous advantages promised by a wellconstructed union none deserves to be more accurately developed than its tendency to break and control the violence of faction,TO PEOPLE STATE NEW YORK AMONG DESC-NUMEROUS ADVANTAGE PROMISE BY WELLCONSTRUCT UNION NONE DESERVE TO BE MORE ACCURATELY DEVELOP THAN X-ITS TENDANCE TO BREAK AND CONTROL VIOLENCE FACTORY
the friend of popular governments never finds himself so much alarmed for their character and fate as when he contemplates their propensity to this dangerous vice,FRIEND DESC-POPULATIONAL GOVERNMENT NEVER FIND X-HIMSELVES SOMETHING ALARM FOR Y CHARACTER AND FAITH AS WHEN HIS CONSIDER THE PROPENSITY TO THIS DRASTIC VIDEO
he will not fail therefore to set a due value on any plan which without violating the principles to which he is attached provides a proper cure for it,X-HE WILL DESC-NOT FAIL DEFINITELY TO SET DOUBT VALUE ON ANY PLAN WHICH WITHOUT VIOLATE PRINCIPLE TO SHORTWARE PROVIDE PROPER CURE FOR IT
however anxiously we may wish that these complaints had no foundation the evidence of known facts will not permit us to deny that they are in some degree true,DESC-HOWEVER ANXIOUSLY X-WE MAY WISH THAT SE COMPLAINT HAVE NO FOUNDATION EVIDENCE KNOW FACT WILL DESPITE US TO DENY THAT SHE BE IN SOME DEGREE TRUE
these must be chiefly if not wholly effects of the unsteadiness and injustice with which a factious spirit has tainted our public administrations,SE MUST BE CHIEFLY IF DESC-NOT WHOLELY EFFECT UNSTEALTHYNESS AND INJUSTICE WITH WHICH FACTIOUS SPIRIT HAVE TAINT X-WE PUBLIC ADMINISTRATION
there are two methods of curing the mischiefs of faction the one by removing its causes the other by controlling its effects,DESC-RE BE TWO METHOD CURING MISCHIEF FACTORY ONE BY REMOTE X-ITS CAUSE ORBY CONTROL EFFECT
there are again two methods of removing the causes of faction the one by destroying the liberty which is essential to its existence the other by giving to every citizen the same opinions the same passions and the same interests,DESC-RE BE ABOVE TWO METHOD REMOVE CAUSE FACTION ONE BY DESTROY LIBERTY WHICH BE DEESSENTIAL TO X-ITS EXISTENCE ALTERNATIVEBY GIVE TO EVERY CITIZEN SMALL OPINION SLAME POLITICS AND SAME INTEREST
it could never be more truly said than of the first remedy that it was worse than the disease,X-IT COULD DESC-NEVER BE MORE TRULY SAY THAN FINAL RESOLVEMENT THAT IT BE WRONGER BETWEEN DISEASE AND DISORDER
liberty is to faction what air is to fire an aliment without which it instantly expires,LIBERTY BE TO FACTORY WHAT AIR BETO FIRE ALIMENT WITHOUT WHICH X-IT DESC-IMMEDIATELY EXPIRE
but it could not be less folly to abolish liberty which is essential to political life because it nourishes faction than it would be to wish the annihilation of air which is essential to animal life because it imparts to fire its destructive agency,BUT X-IT COULD DESC-NOT BE MORE FOLLY TO ABOLISH LIBERTY WHICH BE ESSENTIAL TO POLITICAL LIFE BECAUSE IT NOURISH FRIENDSHIP THAN SHE WOULD BE TO WISH ANNIHILATION AIR THOSE BE DETERMINE TO AQUACULTURE BASED ON FIELDS TO DESTRUCTIVE AGENCY
the second expedient is as impracticable as the first would be unwise,DESC-SECOND EXPEDIENT BE AS IMPERATIBILITY AS FIRST WOULD BE UNEWISE
as long as the reason of man continues fallible and he is at liberty to exercise it different opinions will be formed,AS DESC-LONG AS REASON MAN CONTINUE FIRMIBLE AND X-HE BE AT LIBERTY TO EXERCISE DIFFERENT OPINION WILL BE FORM
as long as the connection subsists between his reason and his selflove his opinions and his passions will have a reciprocal influence on each other and the former will be objects to which the latter will attach themselves,AS DESC-LONG AS CONNECTION SUBSIST BETWEEN X-HE REASON AND HIS SELFLOOK Y OPINION AND JESUS PASSION WILL HAVE RECIPROCIAL INFLUENCE ON EACH ELSE AND FELLOWER WILL BE OBJECT TO WHICH LATTER WILL ATTACH EQUALLY
the diversity in the faculties of men from which the rights of property originate is not less an insuperable obstacle to a uniformity of interests,DIVERSITY IN FACILITIES MAN FROM WHICH RIGHTS PROPERTY ORIGINATE BE DESC-NOT TWELVE INSUPERABLE OBSTACLE TO UNIFICANCE INTEREST
the protection of these faculties is the first object of government,PROTECTION SE FACILITY BE DESC-FIRST OBJECT GOVERNMENT
the latent causes of faction are thus sown in the nature of man and we see them everywhere brought into different degrees of activity according to the different circumstances of civil society,DESC-LATENT CAUSE FACTORY BE THUS SKEEP IN NATURE MAN AND X-WE SEE EXPERIENCEDLY BRING INTO DISTINGUISHED DEGREE ACTIVITY ACCORD TO DIVERSE CIRCUMSTANCE CALIFORNIA SOCIETY
so strong is this propensity of mankind to fall into mutual animosities that where no substantial occasion presents itself the most frivolous and fanciful distinctions have been sufficient to kindle their unfriendly passions and excite their most violent conflicts,DESC-SO STRONG BE THIS PROPENSITY MANUFACTURE TO FALL INTO MULTILATE ANIMOSOCITY THAT WHERE NO SUBSTANTIAL OCCASION PRESENT X-ITSELF MOST FRIVOLOUS AND FIANCYFUL DISTINCTION HAVE BE DEFINITIVE TO KINDLE THOSE UNDERSTANDING POLITICS AND EXCITE THROUGHOUT VERY D
but the most common and durable source of factions has been the various and unequal distribution of property,BUT MOST COMMON AND DESC-DURABLE SOURCE FACTORY HAVE BE DISTINGUISHED AND UNEQUAL DIFFERENTIATION PROPERTY
those who hold and those who are without property have ever formed distinct interests in society,PEOPLE WHO HOLD AND THOSE WHO BE WITHOUT PROPERTY HAVE DESC-EVER FORMATE DISTINCT INTEREST IN SOCIETY
those who are creditors and those who are debtors fall under a like discrimination,THOSE WHO BE DESC-CREDITOR AND THIRD WHICH BE DEBTOR FALL UNDER LIKE DISCRIMINATION
a landed interest a manufacturing interest a mercantile interest a moneyed interest with many lesser interests grow up of necessity in civilized nations and divide them into different classes actuated by different sentiments and views,LANDING INTEREST MANUFACTURED INVESTIGATION MERCANTILE INTELLIGENCE MONEY UP NECESSITY IN CIVILIZED NATION AND DIVISE X-Y INTO DESC-DIFFERENT CATEGORY ACTIVATE BY DETERMINE SENTIMENT AND VIEW
the regulation of these various and interfering interests forms the principal task of modern legislation and involves the spirit of party and faction in the necessary and ordinary operations of the government,REGULATION SE DESC-VARIOUS AND INTERFRINGING INTEREST FORM PRINCIPAL TASK MODERN LEGISLATION AND INVOLVE SPIRIT PARTY AND FACTORY IN DOCUMENTARY AND ORGANIZED OPERATION GOVERNMENT
no man is allowed to be a judge in his own cause because his interest would certainly bias his judgment and not improbably corrupt his integrity,NO MAN BE ALLOW TO BE JUDGE IN X-HE DESC-OWN CAUSE BECAUSE SHE INTEREST WHICH WOULD CERTAINLY BIASIS THROUGHOUT IMPROBABLY CORRUPTE THOSE INTEGRITY
and what are the different classes of legislators but advocates and parties to the causes which they determine,AND WHAT BE DESC-DIFFERENT CLASS LEGISLATOR BUT ADVOCATE AND PARTY TO CAUSE WHICH X-Y DETERMINE
is a law proposed concerning private debts,BE LAW PROPOSE CONCERN DESC-PRIVATE DEBT
it is a question to which the creditors are parties on one side and the debtors on the other,X-IT BE QUESTION TO WHICH CREDITOR BE PIECE ON ONE SIDE AND DEBTOR ON DESC-OR
justice ought to hold the balance between them,JUSTICE OUGHT TO HOLD BALANCE BETWEEN X-Y
yet the parties are and must be themselves the judges and the most numerous party or in other words the most powerful faction must be expected to prevail,DESC-YET PARTY BE AND MUST BE X-MSELVES JUDGE AND MOST NUMBEROUS PLAYER OR IN EXCEPTIONAL WORD MAJOR POWERFUL FACTORY MUST BELIEVE TO PREVAIL
shall domestic manufactures be encouraged and in what degree by restrictions on foreign manufactures are questions which would be differently decided by the landed and the manufacturing classes and probably by neither with a sole regard to justice and the public good,SHALL DESC-DOMESTIC MANUFACTURING BE ENCOURAGE AND IN WHAT DEGREE BY RESTRICTION ON FOREIGN MAINTENANCE BE QUESTION WHICH WOULD BE SOMEWHERE DECIDEBY LAND AND MAINTAINING COURSE AND PROBABLY NOTHING WITH SOLE REGARD TO JUSTICE AND PUBLIC GOOD
every shilling with which they overburden the inferior number is a shilling saved to their own pockets,EVERY HILLING WITH WHICH X-Y OVERBURDEN DESC-INFERIOR NUMBER BE SHALLING SAVE TO FIND TEXT POCKET
it is in vain to say that enlightened statesmen will be able to adjust these clashing interests and render them all subservient to the public good,X-IT BE IN DESC-VAIN TO SAY THAT ELIGHTEN STATESMAN WILL BE ABLE TO ADJUST SE CLOCKING INTEREST AND RARE THEM ALL SUBSIDERANT TO PUBLIC DOUBT
enlightened statesmen will not always be at the helm,DESC-ENLIGHTENED STATESMAN WILL DISCIPLINEDLY BE AT HARBOR
nor in many cases can such an adjustment be made at all without taking into view indirect and remote considerations which will rarely prevail over the immediate interest which one party may find in disregarding the rights of another or the good of the whole,NOR IN DESC-MANY CASE CAN SUCH ADJUSTMENT BE MAKE AT ALL WITHOUT TAKE INTO VIEW INDIRECT AND RADIO CONSIDERATION WHICH WILL RECOGNIZELY PREVAIL OVER IMMEDIATE INTEREST WOHER ONE PARTY MAY FIND IN DISREGARD RIGHTS ANOR OR GOOD WHOLE
the inference to which we are brought is that the causes of faction can not be removed and that relief is only to be sought in the means of controlling its effects,INFERENCE TO WHICH X-WE BE BRING BE THAT CAUSE FRIENDSHIP CAN DESC-NOT BE REMOVE AND THAT RELIEF BE ONLY TO BE SEEK IN MEANS CONTROL SHE EFFECT
if a faction consists of less than a majority relief is supplied by the republican principle which enables the majority to defeat its sinister views by regular vote,IF FACTORY CONSIST DESC-LESS THAN MAJORITY RELIEF BE SUPPLY BY REPUBLIC PRINCIPLE WHICH ENABLE MULTIPLE TO DEFEAT X-ITS SENISTER VIEWBY RECOGNIFICANT VOTE
it may clog the administration it may convulse the society but it will be unable to execute and mask its violence under the forms of the constitution,X-IT MAY CLOG ADMINISTRATION IT MAY CONVULSE SOCIETY BUT ELSE WILL BE DESC-UNABLE TO EXECUTION AND MASK THEIR VIOLENCE UNDER FORM CONSTITUTION
when a majority is included in a faction the form of popular government on the other hand enables it to sacrifice to its ruling passion or interest both the public good and the rights of other citizens,WHEN MAJORITY BE INCLUDE IN FACTORY FORM DESC-POPULOUS GOVERNMENT ON ANOR HAND ENABLE X-IT TO SACRIFICE TO SHE RULING PASSION OR INTEREST BOTH PUBLIC GOOD AND RIGHTS ALTER CITIZEN
to secure the public good and private rights against the danger of such a faction and at the same time to preserve the spirit and the form of popular government is then the great object to which our inquiries are directed,TO SAFEGUARD PUBLIC DESC-GOOD AND PRIVACY RIGHTS AGAINST DANGER SUCH FRIENDSHIP AND AT SMALL TIME TO PRESERVE SPIRIT AND FORM POPULATION GOVERNMENT BE DESPITE DIFFERENT OBJECTIVE TO WHICH X-WE INVESTIGATION BE DIRECT
let me add that it is the great desideratum by which this form of government can be rescued from the opprobrium under which it has so long labored and be recommended to the esteem and adoption of mankind,LET X-I ADD THAT x-IT BE DESC-GREAT DESIDERATUM BY WHICH THIS FORM GOVERNMENT CAN BE RESCUE FROM OPPROBRIUM UNDER WHERE ELSE HAVE SO LONG LABOR AND BE RECOMMEND TO ESTABLISHMENT AND ADOPTION MANUFACTURER
by what means is this object attainable,BY WHAT MEANS BE THIS OBJECT DESC-ACCESSIBLE
evidently by one of two only,DESC-EVIDENCEDLY BY ONE TWO OCCURRENTLY
if the impulse and the opportunity be suffered to coincide we well know that neither moral nor religious motives can be relied on as an adequate control,IF IMPULSION AND OPPORTUNITY BE SUFFER TO COINCIDE X-WE DESC-WELL KNOW THAT NEIR MORAL NOR RELIGIOUS MOTIVATIVE CAN BE RELY ON AS ADJUSTABLE CONTROL
they are not found to be such on the injustice and violence of individuals and lose their efficacy in proportion to the number combined together that is in proportion as their efficacy becomes needful,X-Y BE DESC-NOT FIND TO BE SUCH ON INJUSTICE AND VIOLENCE INDIVIDUAL AND LOSE Y EFFICIENCY IN PROPORTION TO NUMBER COMMUNALLY THROUGHOUT THOSE BE INPROPORTIONAL AS HYEFICACY BECOME NEEDFUL
