Input,Target Gloss,Predicted Gloss
"fifthly , abolish or declare a moratorium on the death penalty .",DESC-FIFTHLY ABOLISH OR DECLARE MORATORIUM ON DEATH PENALTY,DESC-FIRSTLY ABOLISH OR DECLARE MORATORIUM ON DEATH PENALTY
but on a note of caution the european parliament's control over this will be particularly unbending .,BUT ON NOTE CAUTION EUROPEAN PARLIAMENT X-POSS CONTROL OVER THIS WILL BE DESC-PARTICULARLY DESC-UNBENDING,BUT ON NOTE CAUTION EUROPEAN PARLIAMENT X-POSS CONTROL OVER THIS WILL BE DESC-PARTICULARLY DESC-UNBEND
"however , turkey will need to make additional efforts in order to be able to fulfil the demanding benchmarks .",DESC-HOWEVER TURKEY WILL NEED TO MAKE DESC-ADDITIONAL EFFORT IN ORDER TO BE DESC-ABLE TO FULFIL DEMAND BENCHMARK,DESC-HOWEVER TURKEY WILL NEED TO MAKE DESC-ADDITIONAL EFFORT IN ORDER TO BE DESC-ABLE TO FULFIL DEMAND BRANDWORK
they could have been included among the non chemical methods .,X-Y COULD HAVE BE INCLUDE AMONG NON CHEMICAL METHOD,X-Y COULD HAVE BE INCLUDE AMONG NON DESC-CHEMICAL METHOD
children actually receive humane treatment .,CHILD DESC-ACTUALLY RECEIVE HUMANE TREATMENT,CHILD DESC-ACTUALLY RECEIVE DESC-HUMANE TREATMENT
"our local agriculture minister decided to allocate these grants on afirst come , first servedbasis .",X-WE DESC-LOCAL AGRICULTURE MINISTER DECIDE TO ALLOCATE SE GRANT ON AFIRST COME DESC-FIRST SERVEDBASIS,X-WE DESC-LOCAL AGRICULTURE MINISTER DECIDE TO ALLOCATE SE GRANT ON DESC-AFIRST COME DESC-FIRST SERVEBASIS
classification of wood vote,CLASSIFICATION WOOD VOTE,CLASSIFICATION WIND VOTE
"in her letter , mrs hennis plasschaert asks the same question as manfred weber .",IN X-SHE LETTER MR HENNI PLASSCHAERT ASK DESC-SAME QUESTION AS MANFR WEBER,IN X-SHE LETTER MR HENNI PLASSCHAERT ASK DESC-SAME QUESTION AS MANFRED WEBER
results are needed results which lead to the integration of roma into mainstream schools .,RESULT BE NEED RESULT WHICH LEAD TO INTEGRATION ROMA INTO MAINSTREAM SCHOOL,RESULT BE NEED RESULT WHICH LEAD TO INTEGRATION ROMA INTO DESC-MAINSTREAM SCHOOL
the rapporteur calls for a specific deadline for sis ii development .,RAPPORTEUR CALL FOR SPECIFIC DEADLINE FOR SI X-I X-I DEVELOPMENT,RAPPORTEUR CALL FOR SPECIFIC DEADLINE FOR SI IUS DEVELOPMENT
their quality of life is also deteriorating .,X-Y QUALITY LIFE BE DESC-ALSO DETERIORATE,X-Y QUALITY LIFE BE DESC-ALSO DETERMINE
"on what we said about india , prime minister singh has made it clear he is very committed .",ON WHAT X-WE SAY ABOUT INDIUM DESC-PRIME MINISTER SINGH HAVE MAKE X-IT DESC-CLEAR X-HE BE DESC-VERY COMMIT,ON WHAT X-WE SAY ABOUT INDIA DESC-PRIME MINISTER SINGH HAVE MAKE X-IT DESC-CLEAR X-HE BE DESC-VERY COMMIT
i would like most emphatically to draw your attention to the fact that not every error constitutes fraud .,X-I WOULD LIKE MOST DESC-EMPHATICALLY TO DRAW X-YOU ATTENTION TO FACT THAT DESC-NOT EVERY ERROR CONSTITUTE FRAUD,X-I WOULD LIKE MOST DESC-EMPHATICLY TO DRAW X-YOU ATTENTION TO FACT THAT DESC-NOT EVERY ERROR CONSTITUTE FRAUD
let me touch briefly on most of them .,LET X-I TOUCH BRIEFLY ON MOST X-Y,LET X-I TASK BRIEFLY ON MOST X-Y
"for that purpose , it prejudges the application of acarrot and stickpolicy towards immigrants .",FOR THAT PURPOSE X-IT PREJUDGE APPLICATION ACARROT AND STICKPOLICY TOWARDS DESC-IMMIGRANT,FOR THAT PURPOSE X-IT PREJUDGE APPLICATION ACROROT AND STICKPOLICY TOWARDS IMMIGRANT
"there is a significant , additional financial burden on consumers due to energy market inefficiencies and distortions .",DESC-RE BE DESC-SIGNIFICANT DESC-ADDITIONAL DESC-FINANCIAL BURDEN ON CONSUMER DESC-DUE TO ENERGY MARKET INEFFICIENCY AND DISTORTION,DESC-RE BE DESC-SIGNIFICANT DESC-ADDITIONAL DESC-FINANCIAL BURDEN ON CONSUMER DESC-DUE TO ENERGY MARKET INEFICIENCY AND DISTORTION
"we owe our parents and grandparents a firm parliamentary message , and that is what we have produced today .",X-WE OWE X-WE PARENT AND GRANDPARENT FIRM DESC-PARLIAMENTARY MESSAGE AND THAT BE WHAT X-WE HAVE PRODUCE TODAY,X-WE OWE X-WE PARENT AND GRANDPLANT FIRM DESC-PARLIAMENTARY MESSAGE AND THAT BE WHAT X-WE HAVE PRODUCE TODAY
"we cannot shy away from the challenges , both economic and environmental , with which we are currently faced .",X-WE CAN DESC-NOT DESC-SHY DESC-AWAY FROM CHALLENGE BOTH DESC-ECONOMIC AND DESC-ENVIRONMENTAL WITH WHICH X-WE BE DESC-CURRENTLY FACE,X-WE CAN DESC-NOT DESC-SHARE DESC-AWAY FROM CHALLENGE BOTH DESC-ECONOMIC AND DESC-ENVIRONMENTAL WITH WHICH X-WE BE DESC-CURRENTLY FACE
i have incurred no apparent detriment to my health or the wellbeing of the environment .,X-I HAVE INCUR NO DESC-APPARENT DETRIMENT TO X-MY HEALTH OR WELLBEING ENVIRONMENT,X-I HAVE INCUR NO DESC-APPARENT DETRIMENT TO X-MY HEALTH OR WELFARE ENVIRONMENT
i would like to make a similar point about international coach transport too .,X-I WOULD LIKE TO MAKE DESC-SIMILAR POINT ABOUT DESC-INTERNATIONAL COACH TRANSPORT DESC-TOO,X-I WOULD LIKE TO MAKE DESC-SIMILAR POINT ABOUT DESC-INTERNATIONAL COURSE TRANSPORT DESC-TOO
there is a window of opportunity after the election in the united states .,DESC-RE BE WINDOW OPPORTUNITY AFTER ELECTION IN UNITE STATE,DESC-RE BE WINDOWS OPPORTUNITY AFTER ELECTION IN UNITE STATE
nowhere in the european union must this opportunity be squandered .,DESC-NOWHERE IN EUROPEAN UNION MUST THIS OPPORTUNITY BE SQUANDER,DESC-NONEWHERE IN EUROPEAN UNION MUST THIS OPPORTUNITY BE SQUANDER
we need smart meters now .,X-WE NEED DESC-SMART METER DESC-NOW,X-WE NEED DESC-SMART METERS DESC-NOW
i commend the belarusian authoritiesdecision to register mr milinkevich's citizensassociation for freedom .,X-I COMMEND BELARUSIAN AUTHORITIESDECISION TO REGISTER MR MILINKEVICH X-POSS CITIZENSASSOCIATION FOR FREEDOM,X-I COMMEND BELARUSIAN AUTHORITYDECISION TO REGISTER MR MILINKEVICH X-POSS CITIZENSASSOCIATION FOR FREEDOM
"instead , they are simply making fine sounding declarations of intent and empty promises .",DESC-INSTEAD X-Y BE DESC-SIMPLY MAKE FINE SOUND DECLARATION INTENT AND DESC-EMPTY PROMISE,DESC-INSTEAD X-Y BE DESC-SIMPLY MAKE FINE SOUND DECLARATION INTENTION AND DESC-EMPTY PROMISE
aquatic life was completely destroyed over a distance of several hundred kilometres .,DESC-AQUATIC LIFE BE DESC-COMPLETELY DESTROY OVER DISTANCE DESC-SEVERAL HUNDRED KILOMETRE,DESC-AQUATIC LIFE BE DESC-COMPLETELY DESTROY OVER DISTANCE DESC-SEVERAL THOUSAND KMILEILE
"that being the case , my abstention is justified .",THAT BE CASE X-MY ABSTENTION BE DESC-JUSTIFIED,THAT BE CASE X-MY ABSTENTION BE JUSTIFY
europe cannot afford to only be a spectator at international negotiations on climate protection .,EUROPE CAN DESC-NOT AFFORD TO DESC-ONLY BE SPECTATOR AT DESC-INTERNATIONAL NEGOTIATION ON CLIMATE PROTECTION,EUROPE CAN DESC-NOT AFFORD TO DESC-ONLY BE SUSPENDANT AT DESC-INTERNATIONAL NEGOTIATION ON CLIMATE PROTECTION
"however , it will provide our innovators increased protection in overseas markets .",DESC-HOWEVER X-IT WILL PROVIDE X-WE INNOVATOR INCREASE PROTECTION IN DESC-OVERSEAS MARKET,DESC-HOWEVER X-IT WILL PROVIDE X-WE INNOVATOR INCREASE PROTECTION IN DESC-OUTSIDE MARKET
"i also agree that monitoring mechanisms should be ensured that increase clarity , transparency and accountability .",X-I DESC-ALSO AGREE THAT MONITOR MECHANISM SHOULD BE ENSURE THAT INCREASE CLARITY TRANSPARENCY AND ACCOUNTABILITY,X-I DESC-ALSO AGREE THAT MONITORING MECHANISM SHOULD BE ENSURE THAT INCREASE CLARITY TRANSPARENCY AND ACCOUNTABILITY
"on each litre of milk , some small farmers are losing up to 30 cents .",ON EACH LITRE MILK SOME DESC-SMALL FARMER BE LOSE DESC-UP TO 30 CENT,ON EACH LITREA MILK SOME DESC-SMALL FARMER BE LOSE DESC-UP TO 30 CENT
"as well as their concomitant violence , two images from the demonstrations against the israeli intervention were particularly shocking .",AS DESC-WELL AS X-Y CONCOMITANT VIOLENCE TWO IMAGE FROM DEMONSTRATION AGAINST ISRAELI INTERVENTION BE DESC-PARTICULARLY DESC-SHOCKING,AS DESC-WELL AS X-Y DESC-CONCOMITANT VIOLENCE TWO IMAGES FROM DEMONSTRATION AGAINST ISRAELI INTERVENTION BE DESC-PARTICULARLY DESC-SHOCKY
"mr president , the eu has been asking for the closure of guantánamo for a long time .",MR PRESIDENT EU HAVE BE ASK FOR CLOSURE GUANTÀ`NAMO FOR DESC-LONG TIME,MR PRESIDENT EU HAVE BE ASK FOR CLOSURE GUANTNAMO FOR DESC-LONG TIME
let us leave it and just assume that people will not bother about it ?,LET X-WE LEAVE X-IT AND DESC-JUST ASSUME THAT PEOPLE WILL DESC-NOT BOR ABOUT X-IT,LET X-WE LEAVE X-IT AND DESC-JUST ASSUME THAT PEOPLE WILL DESC-NOT HAUNT ABOUT X-IT
"however , this only treats the symptoms , not the causes .",DESC-HOWEVER THIS DESC-ONLY TREAT SYMPTOM DESC-NOT CAUSE,DESC-HOWEVER THIS DESC-ONLY TREAT SIGNAL DESC-NOT CAUSE
together this means barely eur 20 million annually for each country which is part of the project .,DESC-TOGER THIS MEAN DESC-BARELY EUR 20 MILLION DESC-ANNUALLY FOR EACH COUNTRY WHICH BE PART PROJECT,DESC-TOGER THIS MEAN DESC-BLEASTLY EUR 20 MILLION DESC-ANNUALLY FOR EACH COUNTRY WHICH BE PART PROJECT
"if we acknowledged this fact , mankind would save billions of dollars by giving up pointless activities .",IF X-WE ACKNOWLEDGE THIS FACT MANKIND WOULD SAVE BILLION DOLLAR BY GIVE DESC-UP DESC-POINTLESS ACTIVITY,IF X-WE ACKNOWLEDGE THIS FACT MANMAN WOULD SAVE BILLION DOLLARS BY GIVE DESC-UP DESC-POINTLESS ACTIVITY
let us stick to this title . that is reasonable .,THAT BE DESC-REASONABLE THIS TITLE,THAT BE DESC-REASONABLE
this is precisely what is needed to recover from a recession .,THIS BE DESC-PRECISELY WHAT BE NEED TO RECOVER FROM RECESSION,THIS BE DESC-PRECISELY WHAT BE NEED TO RECOVERY FROM RECESSION
the main building blocks of our proposals are threefold .,DESC-MAIN BUILDING BLOCK X-WE PROPOSAL BE DESC-THREEFOLD,DESC-MAIN BUILDING BLOCK X-WE PROPOSAL BE THREEFOLD
"i am thinking , in particular , about women who have fallen victim to the sex slave trade .",X-I BE THINK IN DESC-PARTICULAR ABOUT WOMAN WHO HAVE FALL VICTIM TO SEX SLAVE TRADE,X-I BE THINK IN DESC-PARTICULAR ABOUT WOMAN WHO HAVE FALL VICTIM TO SEX SLAV TRADE
"madam president , thank you for indulging so many one minute speeches on this issue .",MADAM PRESIDENT THANK X-YOU FOR INDULGE DESC-SO DESC-MANY ONE MINUTE SPEECH ON THIS ISSUE,MADAM PRESIDENT THANK X-YOU FOR DESC-INDULGE DESC-SO DESC-MANY ONE MINUTE SPEECH ON THIS ISSUE
joint programming of research to combat neurodegenerative diseases vote,DESC-JOINT PROGRAMMING RESEARCH TO COMBAT NEURODEGENERATIVE DISEASE VOTE,DESC-JOINT PROGRAMMING RESEARCH TO COMBAT DESC-NEURODEGENERATORY DISEASE VOTE
this resolution is a step forward in reaffirming these values .,THIS RESOLUTION BE STEP DESC-FORWARD IN REAFFIRM SE VALUE,THIS RESOLUTION BE STEP DESC-FORWARD IN REASSERT SE VALUE
this is to say nothing of the economic implications of counterfeit goods .,THIS BE TO SAY NOTHING DESC-ECONOMIC IMPLICATION COUNTERFEIT GOODS,THIS BE TO SAY NOTHING DESC-ECONOMIC IMPLICATION CURRENCY GOODS
"i am very aware of the complexity of this issue , mr kelly .",X-I BE DESC-VERY DESC-AWARE COMPLEXITY THIS ISSUE MR DESC-KELLY,X-I BE DESC-VERY DESC-AWARE COMPLEXITY THIS ISSUE MR KELLY
"to make three or more is an indication of stupidity , insanity or deliberate mischief making .",TO MAKE THREE OR MORE BE INDICATION STUPIDITY INSANITY OR DESC-DELIBERATE MISCHIEF MAKE,TO MAKE THREE OR MORE BE INDICATION STUPIDITY INSANITY OR DESC-DELIBERATE MISCIP MAKE
"in fact , this cruel disease is the second most common cause of death in europe .",IN FACT THIS DESC-CRUEL DISEASE BE DESC-SECOND MOST DESC-COMMON CAUSE DEATH IN EUROPE,IN FACT THIS DESC-CRUCIAL DISEASE BE DESC-SECOND MOST DESC-COMMON CAUSE DEATH IN EUROPE
would it not be better to improve the services provided in biarritz by introducing non polluting forms of transport ?,WOULD X-IT DESC-NOT BE DESC-BETTER TO IMPROVE SERVICE PROVIDE IN BIARRITZ BY INTRODUCE NON POLLUTE FORM TRANSPORT,WOULD X-IT DESC-NOT BE DESC-BETTER TO IMPROVE SERVICE PROVIDE IN BARIERTZ BY INTRODUCE NON POLLUT FORM TRANSPORT
this is because they are more flexible and open to modern technologies and organisational methods .,THIS BE BECAUSE X-Y BE MORE DESC-FLEXIBLE AND DESC-OPEN TO DESC-MODERN TECHNOLOGY AND DESC-ORGANISATIONAL METHOD,THIS BE BECAUSE X-Y BE MORE DESC-FLEXIBLE AND DESC-OPEN TO DESC-MODERN TECHNOLOGY AND DESC-ORGANIZATIONAL METHOD
"cyanide technology is used to obtain a variety of products , including even pharmaceutical products and vitamins .",CYANIDE TECHNOLOGY BE USE TO OBTAIN VARIETY PRODUCT INCLUDE DESC-EVEN DESC-PHARMACEUTICAL PRODUCT AND VITAMIN,CYANIDE TECHNOLOGY BE USE TO OBTAIN VARIOUS PRODUCT INCLUDE DESC-EVEN DESC-PHARMACEUTICAL PRODUCT AND VITAL
this is a problem that will come back to haunt us continually in the years to come .,THIS BE PROBLEM THAT WILL COME DESC-BACK TO HAUNT X-WE DESC-CONTINUALLY IN YEAR TO COME,THIS BE PROBLEM THAT WILL COME DESC-BACK TO HUNT X-WE DESC-CONTINUALLY IN YEAR TO COME
claims about nanoparticles and cosmetic products are a good example of this .,CLAIM ABOUT NANOPARTICLE AND COSMETIC PRODUCT BE DESC-GOOD EXAMPLE THIS,CLAIM ABOUT NANOPPART AND COSMETIC PRODUCT BE DESC-GOOD EXAMPLE THIS
they only want to listen to those parts of civil society that fit into the federalist mould .,X-Y DESC-ONLY WANT TO LISTEN TO THOSE PART DESC-CIVIL SOCIETY THAT FIT INTO FEDERALIST MOULD,X-Y DESC-ONLY WANT TO LISTEN TO THOSE PART DESC-CIVIL SOCIETY THAT FIT INTO DESC-FEDERALIST MOLD
"personally , i am very disappointed with the equality sham that the last council presented after its meeting .",DESC-PERSONALLY X-I BE DESC-VERY DISAPPOINT WITH EQUALITY SHAM THAT DESC-LAST COUNCIL DESC-PRESENT AFTER X-ITS MEETING,DESC-PERSONALLY X-I BE DESC-VERY DISAPPOINT WITH EQUALITY SHAME THAT DESC-LAST COUNCIL DESC-PRESENT AFTER X-ITS MEETING
the programme is implemented through the unodc at a cost of eur 1.75 million .,PROGRAM BE IMPLEMENT THROUGH DESC-UNODC AT COST EUR 1.75 MILLION,PROGRAM BE IMPLEMENT THROUGH UNODC AT COST EUR 1.75 MILLION
our citizens want a clear and substantive answer .,X-WE CITIZEN WANT DESC-CLEAR AND DESC-SUBSTANTIVE ANSWER,X-WE CITIZEN WANT DESC-CLEAR AND DESC-SUBSTANTIAL ANSWER
"it is not a manufacturing industry , although it does create some jobs .",X-IT BE DESC-NOT MANUFACTURING INDUSTRY ALTHOUGH X-IT DO CREATE SOME JOB,X-IT BE DESC-NOT MANUFACTURE INDUSTRY ALTHOUGH X-IT DO CREATE SOME JOB
commissioner de gucht gave a long account of the eu's operations .,COMMISSIONER DE GUCHT GIVE DESC-LONG ACCOUNT EU X-POSS OPERATION,COMMISSIONER DE GUHT GIVE DESC-LONG ACCOUNT EU X-POSS OPERATION
religious tolerance needs to be promoted both by those that hold political power and at grassroots level .,DESC-RELIGIOUS TOLERANCE NEED TO BE PROMOTE BOTH BY THOSE THAT HOLD DESC-POLITICAL POWER AND AT GRASSROOT LEVEL,DESC-RELIGIOUS TOLERANCE NEED TO BE PROMOTE BOTH BY THOSE THAT HOLD DESC-POLITICAL POWER AND AT GRASSROUND LEVEL
